2015-02-03 11:19:04,011 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Spring.demo:Example:0.0.1-SNAPSHOT @ D:\Github_Files\SpringWeb\Example\pom.xml.
2015-02-03 11:19:04,152 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-03 11:19:04,152 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-02-03 11:19:04,168 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-03 11:19:04,168 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Github_Files\SpringWeb\Example\src\test\resources
2015-02-03 11:19:12,787 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-03 11:19:12,803 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-02-03 11:19:12,803 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-03 11:19:12,803 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Github_Files\SpringWeb\Example\src\test\resources
2015-02-03 11:21:25,182 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\Github_Files\SpringWeb\myfirstproject\pom.xml
2015-02-03 11:21:25,276 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.learning:myfirstproject:0.0.1-SNAPSHOT @ D:\Github_Files\SpringWeb\myfirstproject\pom.xml.
2015-02-03 11:21:25,541 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /myfirstproject/src/main/java
2015-02-03 11:21:25,541 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /myfirstproject/src/main/resources
2015-02-03 11:21:25,541 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /myfirstproject/src/test/java
2015-02-03 11:21:27,901 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.learning:myfirstproject:0.0.1-SNAPSHOT @ D:\Github_Files\SpringWeb\myfirstproject\pom.xml.
2015-02-03 11:21:29,260 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2015-02-03 11:21:29,776 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.learning:myfirstproject:0.0.1-SNAPSHOT @ D:\Github_Files\SpringWeb\myfirstproject\pom.xml.
